Country,Date,Confirmed,Deaths,Recovered,NewCases,NewDeaths,NewRecovered,NewCases_rolling7d,NewDeaths_rolling7d,NewRecovered_rolling7d,ActiveCases,CFR,RecoveryRate,daily_growth_rate,Population,CasesPer100k,DeathsPer100k,RiskTier,Continent,Year,Month,MonthName,Quarter,YearMonth,DateKey
Summer Olympics 2020,2023-03-09,865,0,0,0.0,0.0,0.0,0.0,0.0,0.0,865,0.0,0.0,0.0,,,,Low,Other,2023,3,March,1,2023-03,20230309
Suriname,2023-03-09,82467,1404,0,0.0,0.0,0.0,0.0,0.0,0.0,81063,1.7025,0.0,0.0,,,,Low,South America,2023,3,March,1,2023-03,20230309
Sweden,2023-03-09,2699339,23777,0,804.0,46.0,0.0,114.85714285714286,6.571428571428571,0.0,2675562,0.8808,0.0,0.0298,10099265.0,26728.07,235.43,Low,Europe,2023,3,March,1,2023-03,20230309
Switzerland,2023-03-09,4413911,14210,0,0.0,1.0,0.0,210.28571428571428,0.42857142857142855,0.0,4399701,0.3219,0.0,0.0,8654622.0,51000.62,164.19,Low,Europe,2023,3,March,1,2023-03,20230309
Syria,2023-03-09,57467,3164,0,0.0,0.0,0.0,0.0,0.0,0.0,54303,5.5058,0.0,0.0,,,,Low,Other,2023,3,March,1,2023-03,20230309
Taiwan,2023-03-09,9970937,17672,0,0.0,0.0,0.0,0.0,0.0,0.0,9953265,0.1772,0.0,0.0,,,,Low,Asia,2023,3,March,1,2023-03,20230309
Tajikistan,2023-03-09,17786,125,0,0.0,0.0,0.0,0.0,0.0,0.0,17661,0.7028,0.0,0.0,,,,Low,Other,2023,3,March,1,2023-03,20230309
Tanzania,2023-03-09,42906,846,0,0.0,0.0,0.0,8.571428571428571,0.0,0.0,42060,1.9718,0.0,0.0,,,,Low,Africa,2023,3,March,1,2023-03,20230309
Thailand,2023-03-09,4728182,33918,0,0.0,0.0,0.0,21.0,1.0,0.0,4694264,0.7174,0.0,0.0,69799978.0,6773.9,48.59,Low,Asia,2023,3,March,1,2023-03,20230309
Togo,2023-03-09,39396,290,0,0.0,0.0,0.0,2.0,0.0,0.0,39106,0.7361,0.0,0.0,,,,Low,Other,2023,3,March,1,2023-03,20230309
Tonga,2023-03-09,16810,13,0,0.0,0.0,0.0,0.42857142857142855,0.0,0.0,16797,0.0773,0.0,0.0,,,,Low,Other,2023,3,March,1,2023-03,20230309
Trinidad and Tobago,2023-03-09,189918,4355,0,0.0,0.0,0.0,88.85714285714286,1.1428571428571428,0.0,185563,2.2931,0.0,0.0,,,,Low,Other,2023,3,March,1,2023-03,20230309
Tunisia,2023-03-09,1151126,29341,0,0.0,0.0,0.0,23.428571428571427,1.4285714285714286,0.0,1121785,2.5489,0.0,0.0,,,,Low,Africa,2023,3,March,1,2023-03,20230309
Turkey,2023-03-09,17042722,101492,0,0.0,0.0,0.0,0.0,0.0,0.0,16941230,0.5955,0.0,0.0,84339067.0,20207.39,120.34,Low,Asia,2023,3,March,1,2023-03,20230309
Tuvalu,2023-03-09,2805,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2805,0.0,0.0,0.0,,,,Low,Other,2023,3,March,1,2023-03,20230309
Uganda,2023-03-09,170544,3630,0,0.0,0.0,0.0,5.714285714285714,0.0,0.0,166914,2.1285,0.0,0.0,,,,Low,Africa,2023,3,March,1,2023-03,20230309
Ukraine,2023-03-09,5711929,119283,0,111.0,2.0,0.0,1513.7142857142858,10.428571428571429,0.0,5592646,2.0883,0.0,0.0019,43733762.0,13060.69,272.75,Low,Europe,2023,3,March,1,2023-03,20230309
United Arab Emirates,2023-03-09,1053213,2349,0,145.0,0.0,0.0,138.0,0.0,0.0,1050864,0.223,0.0,0.0138,,,,Low,Asia,2023,3,March,1,2023-03,20230309
United Kingdom,2023-03-09,24658705,220721,0,28783.0,0.0,0.0,4125.0,0.0,0.0,24437984,0.8951,0.0,0.1169,67886011.0,36323.69,325.13,Low,Europe,2023,3,March,1,2023-03,20230309
